,region,EWCL,dept,perspective,value
195,青海,Energy,Others,生产视角,5.6507949777672195
196,宁夏,Energy,Agriculture,生产视角,0.18013418011938212
197,宁夏,Energy,Food&tabacco,生产视角,0.07483510479468194
198,宁夏,Energy,"Electricity, Gas &Water",生产视角,24.054262469764133
199,宁夏,Energy,Construction,生产视角,0.2687098213512912
200,宁夏,Energy,Transport,生产视角,1.386862120202657
201,宁夏,Energy,Services,生产视角,0.8750777394534706
202,宁夏,Energy,Others,生产视角,10.174450193976337
203,新疆,Energy,Agriculture,生产视角,1.7197223391772256
204,新疆,Energy,Food&tabacco,生产视角,0.5631685697563131
205,新疆,Energy,"Electricity, Gas &Water",生产视角,33.51619704698242
206,新疆,Energy,Construction,生产视角,0.4677225023711116
207,新疆,Energy,Transport,生产视角,4.6966032124495465
208,新疆,Energy,Services,生产视角,2.128798027478749
209,新疆,Energy,Others,生产视角,24.50486855535336
210,北京,Energy,Agriculture,消费视角,1.334242762373335
211,北京,Energy,Food&tabacco,消费视角,2.2245305424006707
212,北京,Energy,"Electricity, Gas &Water",消费视角,8.628905118147701
213,北京,Energy,Construction,消费视角,22.14440080589712
214,北京,Energy,Transport,消费视角,2.253179806038858
215,北京,Energy,Services,消费视角,37.76539710607379
216,北京,Energy,Others,消费视角,10.834035910538402
217,天津,Energy,Agriculture,消费视角,1.2095437122835357
218,天津,Energy,Food&tabacco,消费视角,2.5158436012805403
219,天津,Energy,"Electricity, Gas &Water",消费视角,9.59519394731055
220,天津,Energy,Construction,消费视角,26.192610698616008
221,天津,Energy,Transport,消费视角,8.693138274997384
222,天津,Energy,Services,消费视角,12.448271040365771
223,天津,Energy,Others,消费视角,29.079670325739247
224,河北,Energy,Agriculture,消费视角,4.49142613432671
225,河北,Energy,Food&tabacco,消费视角,5.983897831608362
226,河北,Energy,"Electricity, Gas &Water",消费视角,37.13994313030458
227,河北,Energy,Construction,消费视角,47.266186531320926
228,河北,Energy,Transport,消费视角,7.073527404332913
229,河北,Energy,Services,消费视角,28.094918427397094
230,河北,Energy,Others,消费视角,54.75896243600329
231,山西,Energy,Agriculture,消费视角,2.9946348384932477
232,山西,Energy,Food&tabacco,消费视角,3.0553932504644434
233,山西,Energy,"Electricity, Gas &Water",消费视角,14.70457729133823
234,山西,Energy,Construction,消费视角,26.344958954424087
235,山西,Energy,Transport,消费视角,6.383284339097873
236,山西,Energy,Services,消费视角,19.791352684715225
237,山西,Energy,Others,消费视角,26.60457310003514
238,内蒙古,Energy,Agriculture,消费视角,2.9040618415808352
239,内蒙古,Energy,Food&tabacco,消费视角,5.435087654815119
240,内蒙古,Energy,"Electricity, Gas &Water",消费视角,14.287821199968123
241,内蒙古,Energy,Construction,消费视角,42.36748710933958
242,内蒙古,Energy,Transport,消费视角,6.343975798993773
243,内蒙古,Energy,Services,消费视角,16.5756903986553
244,内蒙古,Energy,Others,消费视角,28.30677363075859
245,辽宁,Energy,Agriculture,消费视角,2.101150642637845
246,辽宁,Energy,Food&tabacco,消费视角,6.499472246887931
247,辽宁,Energy,"Electricity, Gas &Water",消费视角,15.395311540540742
248,辽宁,Energy,Construction,消费视角,47.612492990421295
249,辽宁,Energy,Transport,消费视角,4.627882757837412
250,辽宁,Energy,Services,消费视角,27.07625399960585
251,辽宁,Energy,Others,消费视角,52.72864964688005
252,吉林,Energy,Agriculture,消费视角,1.189878444364427
