,region,EWCL,perspective,value
175,陕西,Energy,国际（消费视角）,13.33071
176,甘肃,Energy,国际（消费视角）,4.554865
177,青海,Energy,国际（消费视角）,1.648889
178,宁夏,Energy,国际（消费视角）,2.843726
179,新疆,Energy,国际（消费视角）,6.834645
,region,EWCL,perspective,value
0,北京,Water,国际（生产视角）,732.2273989206166
1,天津,Water,国际（生产视角）,678.2782448277187
2,河北,Water,国际（生产视角）,7625.1533090457015
3,山西,Water,国际（生产视角）,1409.2625854372582
4,内蒙古,Water,国际（生产视角）,3575.4000127368895
5,辽宁,Water,国际（生产视角）,4833.008821843745
6,吉林,Water,国际（生产视角）,4703.178843361251
7,黑龙江,Water,国际（生产视角）,5633.091198303193
8,上海,Water,国际（生产视角）,2563.2329218915515
9,江苏,Water,国际（生产视角）,19881.66723762178
10,浙江,Water,国际（生产视角）,4860.612053394835
11,安徽,Water,国际（生产视角）,5698.227795168876
12,福建,Water,国际（生产视角）,3789.7389426662626
13,江西,Water,国际（生产视角）,2314.523905193566
14,山东,Water,国际（生产视角）,16899.459613491814
15,河南,Water,国际（生产视角）,9419.098924415488
16,湖北,Water,国际（生产视角）,3596.620639265644
17,湖南,Water,国际（生产视角）,2618.3001937883605
18,广东,Water,国际（生产视角）,7355.031542617686
19,广西,Water,国际（生产视角）,3246.8891654973404
20,海南,Water,国际（生产视角）,383.04239373618975
21,重庆,Water,国际（生产视角）,1277.73425808819
22,四川,Water,国际（生产视角）,3490.2858362627685
23,贵州,Water,国际（生产视角）,1111.3876483726717
24,云南,Water,国际（生产视角）,2079.2427687602667
25,陕西,Water,国际（生产视角）,1956.5838224761633
26,甘肃,Water,国际（生产视角）,747.2787636022595
27,青海,Water,国际（生产视角）,68.72837851767045
28,宁夏,Water,国际（生产视角）,633.9195021226087
29,新疆,Water,国际（生产视角）,5439.513578012433
30,北京,Water,国内（生产视角）,1033.2141343640592
31,天津,Water,国内（生产视角）,1630.1181686620337
32,河北,Water,国内（生产视角）,38009.72430506853
33,山西,Water,国内（生产视角）,3110.1415176813734
34,内蒙古,Water,国内（生产视角）,12930.700243792606
35,辽宁,Water,国内（生产视角）,8723.84432559978
36,吉林,Water,国内（生产视角）,18645.963874703928
37,黑龙江,Water,国内（生产视角）,27728.427160736952
38,上海,Water,国内（生产视角）,2500.8719277860905
39,江苏,Water,国内（生产视角）,18436.889694032692
40,浙江,Water,国内（生产视角）,3908.8541245221995
41,安徽,Water,国内（生产视角）,25781.999887815102
42,福建,Water,国内（生产视角）,4441.508516562897
43,江西,Water,国内（生产视角）,6865.3636472433245
44,山东,Water,国内（生产视角）,30344.70882731275
45,河南,Water,国内（生产视角）,29326.497297329664
46,湖北,Water,国内（生产视角）,12075.029323047163
47,湖南,Water,国内（生产视角）,11056.1804305224
48,广东,Water,国内（生产视角）,7804.242090425796
49,广西,Water,国内（生产视角）,12910.464083409348
50,海南,Water,国内（生产视角）,1129.6314095422226
51,重庆,Water,国内（生产视角）,5734.8612609686425
52,四川,Water,国内（生产视角）,14594.979369480401
53,贵州,Water,国内（生产视角）,6318.3334227132245
54,云南,Water,国内（生产视角）,7474.330465198544
55,陕西,Water,国内（生产视角）,9169.364688733744
56,甘肃,Water,国内（生产视角）,3102.255895308258
57,青海,Water,国内（生产视角）,195.83018879258142
58,宁夏,Water,国内（生产视角）,2803.533672603275
59,新疆,Water,国内（生产视角）,16310.174194782325
60,北京,Water,本地（生产视角）,1696.391808525782
61,天津,Water,本地（生产视角）,1454.2205846265008
62,河北,Water,本地（生产视角）,23640.707190602585
63,山西,Water,本地（生产视角）,12796.820265056998
64,内蒙古,Water,本地（生产视角）,17240.987800413084
65,辽宁,Water,本地（生产视角）,18897.656486302934
